year_received,total_complaints,abuse_of_authority_yr_ttl,force_yr_ttl,discourtesy_yr_ttl,offensive_language_yr_ttl,unsubstantiated_or_exnrtd,substantiated_(any)
1985,7,3,3,1,0,6,1
1986,22,5,10,4,0,16,3
1987,22,2,7,3,4,15,1
1988,35,9,14,8,1,22,10
1989,49,12,14,9,2,35,2
1990,54,6,21,8,4,34,5
1991,56,2,23,16,0,36,5
1992,88,10,30,23,4,51,16
1993,76,14,32,13,8,45,22
1994,177,29,75,36,13,102,51
1995,213,39,104,49,12,145,59
1996,254,63,115,41,6,148,77
1997,214,71,87,34,6,136,62
1998,250,105,83,39,10,165,72
1999,155,78,47,26,4,128,27
2000,232,124,62,35,7,161,67
2001,344,172,106,54,10,267,75
2002,571,305,160,90,10,412,153
2003,792,438,224,108,11,566,215
2004,972,568,241,131,18,699,259
2005,1345,839,335,145,17,1059,277
2006,1654,986,445,185,25,1320,321
2007,1892,1139,485,229,31,1616,268
2008,1631,987,392,226,18,1368,255
2009,1761,1022,432,269,36,1432,327
2010,1659,1036,361,226,29,1363,289
2011,1896,1096,435,304,49,1450,434
2012,1841,1109,407,274,43,1370,463
2013,2114,1281,459,311,57,1566,542
2014,2220,1341,495,305,54,1586,609
2015,2312,1492,415,321,48,1478,798
2016,2345,1476,446,284,59,1532,733
2017,2178,1464,333,253,42,1559,533
2018,2281,1470,356,312,61,1570,629
2019,1642,1243,161,171,30,1107,498
